Title,Link,Snippet
"ScalePad hiring Data Analyst in Vancouver, British Columbia ...",https://www.linkedin.com/jobs/view/data-analyst-at-scalepad-4143942169,We're looking for brilliant thinkers to join our #Rocketeers. If you've ever wondered what it's like to work in a place where people enjoy their work.
26 Data Analyst jobs in Bellingham,https://www.linkedin.com/jobs/data-analyst-jobs-bellingham-wa,"Analyste en protection des données, Le Bureau du conseiller juridique. KPMG Canada. Abbotsford, British Columbia, Canada. Be an early applicant. 1 day ago."
266 Analyst jobs in Bellingham,https://www.linkedin.com/jobs/analyst-jobs-bellingham-wa,"Sign in to create job alert. 266 Analyst Jobs in Bellingham. business data analyst. business data analyst. TecQify Solutions Inc. Abbotsford, British Columbia, ..."
56 Statistical Analyst jobs in Greater Vancouver Metropolitan Area,https://www.linkedin.com/jobs/statistical-analyst-jobs-greater-columbia?trk=jobs_directory,"Data Analyst, Competitive Intelligence · Quantitative Equity Analyst – Data Science · Data Analyst - EA SPORTS FC · Quantitative Equity Analyst – Process ..."
"1,000+ Database Analyst jobs in Greater Vancouver Metropolitan ...",https://www.linkedin.com/jobs/database-analyst-jobs-greater-columbia,"Data Engineer - Vancouver. Yeah! Global. Vancouver, British Columbia ... Data Integrity Analyst jobs · Junior Database Administrator jobs. More searches"
84 Performance Analyst jobs in Richmond,https://www.linkedin.com/jobs/performance-analyst-jobs-richmond,"ERP Business Analyst. ERP Business Analyst. Langara College. Vancouver, British Columbia, Canada 2 weeks ago. Business Analyst II - Data Migration. Business ..."
"13 Data Scientist Analyst jobs in Victoria, British Columbia, Canada",https://www.linkedin.com/jobs/data-scientist-analyst-jobs-victoria-bc?trk=guest_job_details_jd_jserp_more_jobs_link,"Today's top 13 Data Scientist Analyst jobs in Victoria, British Columbia, Canada. Leverage your professional network, and get hired."
823 Data Science jobs in Greater Vancouver Metropolitan Area,https://www.linkedin.com/jobs/data-science-jobs-columbia-metropolitan-area,Junior AI Engineer · Data Scientist · AI Business Analyst · AI/Machine Learning Engineer · Data Analyst · Data Scientist · AI Software Engineer Graduate · Machine ...
"1,000+ Job Analyst jobs in Greater Vancouver Metropolitan Area",https://www.linkedin.com/jobs/job-analyst-jobs-greater-columbia,"Business Operations Analytics Associate · Data Analyst - EA SPORTS FC · Data Analyst - Quality Verification · Projects Analyst · Senior Analyst/Analyst, Supply ..."
Jobs via Dice hiring Data Analyst - IT/Data Analyst IV in Bellingham ...,https://www.linkedin.com/jobs/view/data-analyst-it-data-analyst-iv-at-jobs-via-dice-4103916983,"Dec 11, 2024 ... Get notified about new Data Analyst jobs in Bellingham, WA. ... business data analyst. TecQify Solutions Inc. Abbotsford, British Columbia, Canada ..."
Discover 100 Data Analyst Jobs and Work Opportunities in British ...,https://ca.indeed.com/q-data-analyst-l-british-columbia-jobs.html,"Search 155 Data Analyst jobs now available in British Columbia on Indeed.com, the world's largest job site."
"Data Analyst jobs in Vancouver, BC","https://ca.indeed.com/q-data-analyst-l-vancouver,-bc-jobs.html","Data analyst jobs in Vancouver, BC · Fire Safety Analyst. BC Housing3.9 · Junior Website Developer & Advertising Data Analyst. Proximis Digital Inc. · FD, MDM ..."
Discover 100 Entry Level Data Analyst Jobs and Work Opportunities ...,https://ca.indeed.com/q-entry-level-data-analyst-l-british-columbia-jobs.html,"Search 158 Entry Level Data Analyst jobs now available in British Columbia on Indeed.com, the world's largest job site."
Discover 100 Junior Data Analyst Jobs and Work Opportunities in ...,https://ca.indeed.com/q-junior-data-analyst-l-british-columbia-jobs.html,"Search 160 Junior Data Analyst jobs now available in British Columbia on Indeed.com, the world's largest job site."
"Data Analyst,entry Level jobs in Vancouver, Bc","https://ca.indeed.com/q-data-analyst,entry-level-l-vancouver,-bc-jobs.html","Data analyst,entry level jobs in Vancouver, BC · Firestopping Installer. Hiring multiple candidates · Crew Labourer. Hiring multiple candidates · Junior Website ..."
Discover 300 Health Data Analyst Jobs and Work Opportunities in ...,https://ca.indeed.com/q-health-data-analyst-l-british-columbia-jobs.html,"Search 319 Health Data Analyst jobs now available in British Columbia on Indeed.com, the world's largest job site."
Discover 100 Remote Data Analyst Jobs and Work Opportunities in ...,https://ca.indeed.com/q-remote-data-analyst-l-british-columbia-jobs.html,"Search 100 Remote Data Analyst jobs now available in British Columbia on Indeed.com, the world's largest job site."
Discover 100 Data Analyst Jobs and Work Opportunities in British ...,https://ca.indeed.com/m/jobs?q=Data+Analyst&l=British+Columbia,"Search 157 Data Analyst jobs now available in British Columbia on Indeed.com, the world's largest job site."
"Discover 100 Visa Sponsorship Available, Data Analyst Jobs and ...","https://ca.indeed.com/q-visa-sponsorship-available,-data-analyst-l-vancouver,-bc-jobs.html","Search 155 Visa Sponsorship Available, Data Analyst jobs now available in Vancouver, BC on Indeed.com, the world's largest job site."
Discover 100 Data Analyst Jobs and Work Opportunities in ...,https://ca.indeed.com/m/jobs?q=Data+Analyst&l=Vancouver%2C+BC,"Search 131 Data Analyst jobs now available in Vancouver, BC on Indeed.com, the world's largest job site."
"25 Best data analyst jobs in vancouver british, columbia (Hiring Now ...",https://www.workopolis.com/search?q=data+analyst&l=vancouver+british%2C+columbia,"data analyst jobs in vancouver british, columbia · FD, MDM Analyst 1 - Smart Meter Data Analyst · HR Analyst, Leadership Skills Training · Senior Technical ..."
25 Best health data quality analyst jobs in vancouver british ...,https://www.workopolis.com/search?q=health+data+quality+analyst&l=vancouver+british%2C+columbia,"133 health data quality analyst jobs available in vancouver british, columbia. See salaries, compare reviews, easily apply, and get hired."
"25 Best data analyst team lead jobs in vancouver british, columbia ...",https://www.workopolis.com/search?q=data+analyst+team+lead&l=vancouver+british%2C+columbia,"The Conservation Data Analyst will lead data integration and analysis efforts for the Foundation's Conservation program, comprising the BC Conservation Fund and ..."
"25 Best data analyst jobs in delta british, columbia (Hiring Now ...",https://www.workopolis.com/search?q=data+analyst&l=delta+british%2C+columbia&cursor=ABkABIEAZAAAAAAAAAAAAAAAAj9sI80AHwEBAQdPRZfykEcj9RUTpkAo5jnMe3RBxo4dE3zkDgMAAA%3D%3D,"122 data analyst jobs available in delta british, columbia. See salaries, compare reviews, easily apply, and get hired. New data analyst careers in delta ..."
"25 Best python data analyst jobs in vancouver british, columbia ...",https://www.workopolis.com/search?q=python+data+analyst&l=vancouver+british%2C+columbia,"28 python data analyst jobs available in vancouver british, columbia. See salaries, compare reviews, easily apply, and get hired. New python data analyst ..."
25 Best data analyst jobs in metro vancouver regional district british ...,https://www.workopolis.com/search?q=data+analyst&l=metro+vancouver+regional+district+british%2C+columbia,"134 data analyst jobs available in metro vancouver regional district british, columbia. See salaries, compare reviews, easily apply, and get hired."
"25 Best data analyst jobs in langley british, columbia (Hiring Now ...",https://www.workopolis.com/jobsearch/data-analyst-jobs/langley-british-columbia,"data analyst jobs in langley british, columbia · Data Centre Design Analyst · Data Analyst, Economic Research · Junior Data Analyst · Business Intelligence ..."
"7 Best data analyst jobs in vernon british, columbia (Hiring Now ...",https://www.workopolis.com/search?q=data+analyst&l=vernon+british%2C+columbia,"data analyst jobs in vernon british, columbia · marketing data analyst · Analyst, Pricing Performance · Crime Analyst - Serious Crime · Business Systems Analyst."
25 Best business intelligence analyst jobs in british columbia ...,https://www.workopolis.com/search?q=business+intelligence+analyst&l=british+columbia%2C+canada&cursor=ABkAAYEAGQAAAAAAAAAAAAAAAj4LNlYAGAEBAQhHeGvFvGTGdGn%2BPdIYOg4lh4RVLgAA,"HKJ Marketing is seeking for a Data Analyst that will work closely with our clients to further understand, model, predict, segment and monetize the client's…"
"17 Best health data analyst jobs in victoria british, columbia (Hiring ...",https://www.workopolis.com/search?q=health+data+analyst&l=victoria+british%2C+columbia,"health data analyst jobs in victoria british, columbia · Data Management Analyst · Business Intelligence Analyst · Summer 2025 Co-Op Student: Health Information ..."
"Clinical Data Analyst Salary in Fort St John, British Columbia ...",https://www.monster.ca/salary/q-clinical-data-analyst-l-fort-st-john-british-columbia,"Salary for Related Jobs · Clinical Data Specialist - $115,456 · Health Information Manager - $88,320 · Medical Records / Health Information Technician - $93,952 ..."
"Data Quality Analyst Salary in Kitimat, British Columbia | Monster.ca",https://www.monster.ca/salary/q-data-quality-analyst-l-kitimat-british-columbia,"Find the estimated Data Quality Analyst salary in Kitimat, British Columbia. Compare to Data Quality Analyst national median salary and learn how to boost ..."
Data Analyst Jobs in Surrey | Monster,https://www.monster.ca/jobs/q-data-analyst-jobs-l-surrey-bc,"CA-Procom. Burnaby, BC. Accountable for gathering, analyzing, documenting, and managing business requirements for large and/or complex IT projects while ..."
Data Analyst Jobs in Coquitlam | Monster,https://www.monster.ca/jobs/q-data-analyst-jobs-l-coquitlam-bc,"IDRS - DATA PRINT MAIL. $22 - $27 HOUR. Delta, BC. IDRS is a full service, direct mail provider located in Delta, offering consulting, data processing, ..."
Data Analyst Jobs in Burnaby | Monster,https://www.monster.ca/jobs/q-data-analyst-jobs-l-burnaby-bc,"IDRS - DATA PRINT MAIL. $22 - $27 HOUR. Delta, BC. IDRS is a full service, direct mail provider located in Delta, offering consulting, data processing, ..."
Monster.ca: Find Jobs. Build a Better Career. Find Your Calling,https://www.monster.ca/,Data Analyst · Heavy Equipment Jobs · Receptionist Jobs · Data Entry Jobs ... Jobs in Surrey British Columbia. Popular Job Searches. Registered Nurses Jobs ...
"Decision Support Analyst Salary in Field, British Columbia | Monster.ca",https://www.monster.ca/salary/q-decision-support-analyst-l-field-british-columbia,"Gathers data and creates reports and presentations, or reviews and organizes existing quantitative analyses."
"Data Specialist Salary in Kelowna, British Columbia | Monster.ca",https://www.monster.ca/salary/q-data-specialist-l-kelowna-british-columbia,"Salary for Related Jobs. Data Manager - $96,512; Data Quality Analyst - $79,616; Data Analyst - $84,224; Chief Data Officer - $72,704; Data Analytics Manager - ..."
Senior Business Analyst - CA-Procom,https://www.monster.ca/job-openings/senior-business-analyst-victoria-bc--f30493e2-1d3f-407c-a7c3-e732367992e1?mstr_dist=true,"Mar 16, 2025 ... Remote CA-Procom Senior Business Analyst jobs in Victoria, BC. View job details, responsibilities & qualifications. Apply today!"
Clinical Service Desk Analyst - FTR - Burnaby (68940) - NTT DATA,https://www.monster.ca/job-openings/clinical-service-desk-analyst-ftr-burnaby-68940-burnaby-bc--45adaddc-7161-4c1b-86fa-f602b59a9668,"NTT DATA Clinical Service Desk Analyst - FTR - Burnaby (68940) jobs in Burnaby, BC. View job details, responsibilities & qualifications. Apply today!"
